index_code,date,open,close,low,high,volume,money,change,label
'000001,2007/5/23,4125.43,4173.71,4093.92,4175.44,161399478,2.19E+11,1.5407,4110.38
'000001,2007/5/24,4188.68,4151.13,4089.39,4208.39,180984388,2.52E+11,-0.5409,4173.71
'000001,2007/5/25,4133.19,4179.78,4111.26,4190.47,154192860,2.21E+11,0.69,4151.13
'000001,2007/5/28,4221.58,4272.11,4215.24,4283.93,178615174,2.58E+11,2.2091,4179.78
'000001,2007/5/29,4288.98,4334.92,4262.02,4335.96,172097642,2.49E+11,1.4703,4272.11
'000001,2007/5/30,4087.41,4053.09,4015.51,4275.24,185596729,2.71E+11,-6.5015,4334.92
'000001,2007/5/31,4006.28,4109.65,3858.04,4178.11,173115312,2.4E+11,1.3956,4053.09
'000001,2007/6/1,4120.63,4000.74,3966.98,4181.28,160934985,2.28E+11,-2.6502,4109.65
'000001,2007/6/4,3981.82,3670.4,3659.09,3987.27,114859357,1.46E+11,-8.257,4000.74
'000001,2007/6/5,3564.43,3767.1,3404.15,3768.56,157137959,1.79E+11,2.6346,3670.4
'000001,2007/6/6,3781.38,3776.32,3682.79,3821.7,145873852,1.75E+11,0.2446,3767.1
'000001,2007/6/7,3787.7,3890.8,3779.5,3891.4,142366475,1.78E+11,3.0317,3776.32
'000001,2007/6/8,3900.03,3913.14,3852.05,3935.79,135877192,1.79E+11,0.574,3890.8
'000001,2007/6/11,3942.01,3995.68,3930.74,4000.42,133842739,1.79E+11,2.1094,3913.14
'000001,2007/6/12,4011.68,4072.14,3910,4073.18,149472398,2.05E+11,1.9135,3995.68
'000001,2007/6/13,4110.74,4176.48,4102.04,4193.45,166948499,2.2E+11,2.5623,4072.14
'000001,2007/6/14,4162.21,4115.21,4085.79,4179.73,138385604,1.86E+11,-1.467,4176.48
'000001,2007/6/15,4085.66,4132.87,4067.36,4152.54,108665532,1.52E+11,0.4291,4115.21
'000001,2007/6/18,4195.39,4253.35,4193.31,4267.74,128977748,1.82E+11,2.9151,4132.87
'000001,2007/6/19,4247.75,4269.52,4209.58,4280.85,124581814,1.79E+11,0.3803,4253.35
'000001,2007/6/20,4269.46,4181.32,4164.28,4312,135212775,1.92E+11,-2.0658,4269.52
'000001,2007/6/21,4170.89,4230.82,4147.05,4256.54,112919856,1.62E+11,1.1838,4181.32
'000001,2007/6/22,4230.97,4091.45,4024.49,4249.43,119692037,1.68E+11,-3.2943,4230.82
'000001,2007/6/25,4102.79,3941.08,3912.42,4131.13,101606655,1.41E+11,-3.6751,4091.45
'000001,2007/6/26,3863.25,3973.37,3818.85,3976.19,93817469,1.22E+11,0.8193,3941.08
'000001,2007/6/27,3985.72,4078.6,3948.29,4090.72,95113481,1.26E+11,2.6483,3973.37
'000001,2007/6/28,4080.19,3914.2,3912.81,4113.28,97831610,1.27E+11,-4.0307,4078.6
'000001,2007/6/29,3824.29,3820.7,3779.81,3919.35,86099985,1.05E+11,-2.3888,3914.2
'000001,2007/7/2,3800.23,3836.29,3724.19,3859.86,74254060,89585502290,0.4081,3820.7
'000001,2007/7/3,3854.72,3899.72,3821.46,3906.76,69749217,85506976110,1.6534,3836.29
'000001,2007/7/4,3906.01,3816.17,3800.28,3916.48,56474777,72263450668,-2.1427,3899.72
'000001,2007/7/5,3769.64,3615.87,3614.53,3778.4,63405936,73755081218,-5.2485,3816.17
'000001,2007/7/6,3599.82,3781.35,3563.54,3785.35,80737241,92306322866,4.5764,3615.87
'000001,2007/7/9,3809.67,3883.22,3782.73,3900.9,83480539,99410612113,2.694,3781.35
'000001,2007/7/10,3895.91,3853.02,3841.8,3929.42,76563334,93739498017,-0.7776,3883.22
'000001,2007/7/11,3837.8,3865.72,3812.14,3879.29,51353880,62299661073,0.3297,3853.02
'000001,2007/7/12,3874.04,3915.99,3861.04,3925.6,55158363,70286328097,1.3004,3865.72
'000001,2007/7/13,3920.83,3914.4,3878.18,3935.51,46024471,56375761362,-0.0408,3915.99
'000001,2007/7/16,3920.65,3821.92,3820.57,3931.87,47615280,58881864143,-2.3625,3914.4
'000001,2007/7/17,3809.56,3896.19,3767.22,3919.78,48712223,60523645457,1.9434,3821.92
'000001,2007/7/18,3880.85,3930.06,3861.91,3971.61,62871834,80028948101,0.8693,3896.19
'000001,2007/7/19,3918.54,3912.94,3887.59,3947.33,48737595,62965662475,-0.4356,3930.06
'000001,2007/7/20,3918.41,4058.85,3918.41,4062.12,83110646,1.05E+11,3.729,3912.94
'000001,2007/7/23,4091.24,4213.36,4091.24,4220.32,121668964,1.54E+11,3.8067,4058.85
'000001,2007/7/24,4238.32,4210.33,4192.72,4284.83,110989252,1.42E+11,-0.072,4213.36
'000001,2007/7/25,4212.95,4323.97,4212.23,4325.38,93950043,1.26E+11,2.699,4210.33
'000001,2007/7/26,4347.78,4346.46,4304.19,4371.51,99210669,1.33E+11,0.5202,4323.97
'000001,2007/7/27,4315.37,4345.36,4268.79,4357.34,100245813,1.38E+11,-0.0253,4346.46
'000001,2007/7/30,4348.61,4440.77,4345.79,4450.19,112589768,1.54E+11,2.1957,4345.36
'000001,2007/7/31,4432.27,4471.03,4379.2,4476.63,108561410,1.5E+11,0.6815,4440.77
'000001,2007/8/1,4488.77,4300.56,4284.87,4502.3,126292874,1.71E+11,-3.8127,4471.03
'000001,2007/8/2,4316.57,4407.73,4290.81,4431.85,98278578,1.41E+11,2.4919,4300.56
'000001,2007/8/3,4440.98,4560.77,4438.96,4562.69,115116672,1.74E+11,3.4722,4407.73
'000001,2007/8/6,4600.12,4628.11,4564.31,4629.97,111707979,1.68E+11,1.4764,4560.77
'000001,2007/8/7,4642.01,4651.23,4581.29,4687.44,116181085,1.8E+11,0.4995,4628.11
'000001,2007/8/8,4614.59,4663.16,4568.7,4711.32,118909163,1.59E+11,0.2566,4651.23
'000001,2007/8/9,4658.59,4754.1,4658.59,4768.89,97660198,1.38E+11,1.95,4663.16
'000001,2007/8/10,4745.18,4749.37,4640.77,4769.62,101867058,1.47E+11,-0.0994,4754.1
'000001,2007/8/13,4768.62,4820.06,4728.89,4872.55,114184714,1.62E+11,1.4885,4749.37
'000001,2007/8/14,4820.15,4872.79,4789.9,4876.85,88568208,1.28E+11,1.0938,4820.06
'000001,2007/8/15,4875.51,4869.88,4762.72,4916.31,90509675,1.31E+11,-0.0596,4872.79
'000001,2007/8/16,4845.02,4765.45,4710.31,4845.02,90538411,1.28E+11,-2.1445,4869.88
'000001,2007/8/17,4733.14,4656.57,4646.43,4814.37,91159048,1.34E+11,-2.2847,4765.45
'000001,2007/8/20,4773.83,4904.86,4758.4,4906,99152937,1.45E+11,5.3318,4656.57
'000001,2007/8/21,4944.21,4955.21,4917.82,4982.98,104204109,1.56E+11,1.0266,4904.86
'000001,2007/8/22,4876.35,4980.08,4861.27,4999.2,108110938,1.62E+11,0.5019,4955.21
'000001,2007/8/23,5002.84,5032.49,4968.33,5050.38,99309428,1.53E+11,1.0526,4980.08
'000001,2007/8/24,5070.65,5107.67,5052.24,5125.36,108995636,1.65E+11,1.4938,5032.49
'000001,2007/8/27,5144.82,5150.12,5092.08,5192.06,116154244,1.76E+11,0.8311,5107.67
'000001,2007/8/28,5134.14,5194.69,5058.45,5209.51,105436739,1.67E+11,0.8654,5150.12
'000001,2007/8/29,5147.71,5109.43,5063.41,5204.53,100824139,1.62E+11,-1.6413,5194.69
'000001,2007/8/30,5144.11,5167.88,5109.66,5186.53,101210584,1.55E+11,1.1441,5109.43
'000001,2007/8/31,5184.09,5218.83,5158.37,5235.16,103556261,1.57E+11,0.9857,5167.88
'000001,2007/9/3,5257.78,5321.06,5257.78,5327.54,125779649,1.89E+11,1.9589,5218.83
'000001,2007/9/4,5333.4,5294.05,5265,5357.93,120426368,1.86E+11,-0.5076,5321.06
'000001,2007/9/5,5296.07,5310.72,5223.67,5337.93,96240624,1.51E+11,0.3149,5294.05
'000001,2007/9/6,5336.67,5393.66,5314.34,5412.32,106987966,1.65E+11,1.5618,5310.72
'000001,2007/9/7,5381.19,5277.18,5269.25,5405.36,119841029,1.87E+11,-2.1596,5393.66
'000001,2007/9/10,5208.32,5355.29,5169.91,5356.86,102368235,1.53E+11,1.4802,5277.18
'000001,2007/9/11,5362.94,5113.97,5093.92,5395.04,110055262,1.7E+11,-4.5062,5355.29
'000001,2007/9/12,5092.58,5172.63,5025.34,5192.3,97058855,1.49E+11,1.147,5113.97
'000001,2007/9/13,5193.41,5273.59,5178.87,5276.77,86550216,1.41E+11,1.9519,5172.63
'000001,2007/9/14,5290.26,5312.18,5201.85,5324.44,94673912,1.52E+11,0.7318,5273.59
'000001,2007/9/17,5309.06,5421.39,5307.77,5427.17,105638609,1.67E+11,2.0558,5312.18
'000001,2007/9/18,5446.73,5425.21,5339.92,5458.58,102690994,1.68E+11,0.0704,5421.39
'000001,2007/9/19,5439.02,5395.27,5336.07,5447.36,89725500,1.5E+11,-0.5519,5425.21
'000001,2007/9/20,5408.48,5470.07,5396.11,5482.43,86547205,1.43E+11,1.3864,5395.27
'000001,2007/9/21,5482.51,5454.67,5363.35,5489.07,92838809,1.51E+11,-0.2814,5470.07
'000001,2007/9/24,5469.84,5485.01,5404.42,5506.06,81798471,1.42E+11,0.5562,5454.67
'000001,2007/9/25,5500.27,5425.88,5396.48,5509.23,96509579,1.42E+11,-1.0781,5485.01
'000001,2007/9/26,5407.83,5338.52,5320.02,5463.9,63608585,1.06E+11,-1.6101,5425.88
'000001,2007/9/27,5338.11,5409.4,5306.82,5411.19,58884300,96153707825,1.3278,5338.52
'000001,2007/9/28,5461.58,5552.3,5461.58,5560.42,80631285,1.39E+11,2.6417,5409.4
'000001,2007/10/8,5683.31,5692.76,5620,5729.96,95983083,1.56E+11,2.5297,5552.3
'000001,2007/10/9,5678.91,5715.89,5628.35,5725.41,83289030,1.62E+11,0.4064,5692.76
'000001,2007/10/10,5742.65,5771.46,5727.24,5860.86,92445344,1.65E+11,0.9722,5715.89
'000001,2007/10/11,5798.39,5913.23,5755.99,5914.77,94709657,1.78E+11,2.4563,5771.46
'000001,2007/10/12,5950.9,5903.26,5658.81,5959.36,119148432,2.19E+11,-0.1685,5913.23
'000001,2007/10/15,5934.78,6030.09,5866.13,6039.04,98707442,1.93E+11,2.1483,5903.26
'000001,2007/10/16,6056.95,6092.06,6040.71,6124.04,88152159,1.64E+11,1.0277,6030.09
'000001,2007/10/17,6057.43,6036.28,5982.2,6088.89,71312588,1.34E+11,-0.9156,6092.06
'000001,2007/10/18,6031.92,5825.28,5804.97,6055.47,69805425,1.3E+11,-3.4955,6036.28
'000001,2007/10/19,5869.12,5818.05,5766.86,5932.11,55224892,1.03E+11,-0.1242,5825.28
'000001,2007/10/22,5742.79,5667.33,5654.91,5804.84,54433674,95560238009,-2.5905,5818.05
'000001,2007/10/23,5660.07,5773.39,5574.84,5776.02,58453968,1.01E+11,1.8713,5667.33
'000001,2007/10/24,5804.02,5843.11,5793.56,5906.7,60292831,1.09E+11,1.2076,5773.39
'000001,2007/10/25,5794.22,5562.39,5546.04,5819.88,71714448,1.2E+11,-4.8042,5843.11
'000001,2007/10/26,5498.86,5589.63,5462.01,5628.83,51519175,87405045004,0.4897,5562.39
